SCC,num,specise,PSO4,PNO3,PEC,POC,PMFINE
50100795,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50182001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50282001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50282002,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50300203,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50300710,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50300713,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50300724,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50300727,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50300740,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50300769,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50300781,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50400101,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50400102,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50400103,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50400104,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50400151,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50400301,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50400303,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50410216,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50410311,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50410313,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50410322,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50410406,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50410407,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50410408,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50410409,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50410512,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50410722,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
